GeneID	FlyID	GeneName	AnnotatedName	SendaiDay0_SendaiDay7_FC	SendaiDay0_SendaiDay7_qval	SapporoDay0_SapporoDay7_FC	SapporoDay0_SapporoDay7_qval	SapporoDay0_SapporoDay31_FC	SapporoDay0_SapporoDay31_qval	SapporoDay7_SapporoDay31_FC	SapporoDay7_SapporoDay31_qval	SendaiDay0_SapporoDay0_FC	SendaiDay0_SapporoDay0_qval	SendaiDay0_SapporoDay7_FC	SendaiDay0_SapporoDay7_qval	SendaiDay0_SapporoDay31_FC	SendaiDay0_SapporoDay31_qval	SendaiDay7_SapporoDay0_FC	SendaiDay7_SapporoDay0_qval	SendaiDay7_SapporoDay7_FC	SendaiDay7_SapporoDay7_qval	SendaiDay7_SapporoDay31_FC	SendaiDay7_SapporoDay31_qval
LOC123744851	FBgn0038516	P5cr-2	pyrroline-5-carboxylate reductase 3-like	3.26709921548086	0.00351964127912947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.01172311486913	2.05759424256588e-05	NA	NA	-2.38646420486324	2.30470407945835e-05
LOC123744887	NA	NA	vegetative cell wall protein gp1-like	3.24851613796308	0.000482086715657042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.49246381998613	0.0213370101757187	2.46759988827068	0.0049189402877783	NA	NA	NA	NA
LOC123744904	FBgn0003310	S	uncharacterized	4.9081932546599	0.00336710008082039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.20321232699652	0.00759885527969953	NA	NA	-2.09961526443279	0.00156944175422853
LOC123745381	FBgn0043900	pygo	protein pygopus-like	-2.27788693950957	0.0437283352310409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC123745424	NA	NA	mucin-19-like	5.30520613175256	2.02931200858291e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.34612364153674	0.000297528510280728	NA	NA	-3.00237017676844	8.85581267067411e-09
LOC123745514	NA	NA	uncharacterized	5.63126637902317	9.3688061475843e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.52848557359528	5.39197009240011e-05	NA	NA	-3.98905788069811	3.283186310855e-10
LOC123745571	FBgn0264695	Mhc	myosin heavy chain	-3.05134702406261	0.03006380980628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.75920234479038	0.00162092138074817	3.84533547994861	0.000946914392599741	1.25417074499809	0.0363328327103728
LOC123745662	NA	NA	uncharacterized	6.15277634648471	0.00469313937004101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.08450742944805	0.00220529010646872	NA	NA	NA	NA	NA	NA
LOC123745682	NA	NA	uncharacterized	4.57619442515608	0.0359714973932554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC123745826	FBgn0034521	Mgat1	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1-like	4.7249550276949	0.00628878633005029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.40878835108529	0.000308042402392259	NA	NA	-2.00532635644557	0.0297127891912242
LOC123745839	NA	NA	galactoside alpha-(1,2)-fucosyltransferase 2-like	5.32934674938586	0.00304331284622048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.38436963891353	0.00601297102080676	NA	NA	NA	NA
LOC123745864	FBgn0030541	CG11584	collagen alpha-1(I) chain-like	6.23875812591225	0.0384335071588249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC123745882	FBgn0262869	Gfrl	uncharacterized	-3.3269337944612	0.00196777546351544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.86445826840725	0.013185192593397	3.55246373353878	0.000584888758714779	1.45596449339726	0.0444847713633024
LOC123745886	FBgn0033807	AQP	aquaporin-11-like	-2.92798803390158	0.00890620542230002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.31621733095967	0.012885141602548	2.8239694945269	0.0456798768795183	2.081235433829	0.00205901096577431
LOC123745903	FBgn0000299	Col4a1	collagen alpha-1(III) chain-like	6.55264984031086	0.0171434476032848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4291395696826	0.00758418588435388	NA	NA	-7.36687138013584	0.000767356787856598
LOC123746042	FBgn0036680	Cpr73D	sialidase-like	-8.2069580566973	0.00615942256623813	NA	NA	NA	NA	-7.68095980787848	0.0391095686538647	NA	NA	NA	NA	-7.72709761821094	0.00728735160123099	NA	NA	8.11890621204815	0.0152605748567648	NA	NA
LOC123746188	NA	NA	ATP-dependent RNA helicase A-like	-8.62124033634231	0.0225210285033006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.265764795521	0.0159818006900682	NA	NA
LOC123746189	NA	NA	ATP-dependent RNA helicase A-like	-8.79681190092576	0.0189665927679421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.88812726804735	0.0215301133889125	NA	NA
