Family ID	0.257289	0.819873	1.92284	
FBgn0038376	1.39437e-05	3.64911e-06	1.85764e-07	
FBgn0011740	3.71661e-07	1.10713e-07	7.5288e-09	
FBgn0038304	8.60824e-06	5.13667e-07	1.90684e-08	
FBgn0033466	1.39437e-05	3.64911e-06	1.85764e-07	
FBgn0026620	1.31791e-06	1.19786e-06	1.41773e-07	
FBgn0032394	1.0661e-05	2.81074e-06	1.46783e-07	
FBgn0069242	4.11425e-05	8.02188e-06	3.87095e-07	
FBgn0032407	3.20036e-05	9.20085e-06	5.1695e-07	
FBgn0027600	9.57804e-12	5.55193e-10	7.91575e-10	
FBgn0004666	5.2224e-06	3.62554e-06	3.36733e-07	
FBgn0031273	1.4869e-09	3.82549e-08	9.9496e-08	
FBgn0033644	1.38958e-21	9.57797e-16	7.11592e-15	
FBgn0036008	2.43503e-05	6.54963e-06	3.1169e-07	
FBgn0036612	1.86392e-14	9.39804e-13	1.39958e-12	
FBgn0035538	1.40173e-06	2.94402e-07	1.86728e-08	
FBgn0029857	1.62477e-06	1.47159e-06	1.73386e-07	
FBgn0035244	1.39437e-05	3.64911e-06	1.85764e-07	
FBgn0086785	7.80742e-07	7.2667e-07	8.60847e-08	
FBgn0259244	7.32732e-13	4.92677e-11	8.03954e-11	
FBgn0039959	1.88479e-07	1.61002e-07	1.99988e-08	
FBgn0035323	1.39211e-09	1.65371e-08	1.67439e-08	
FBgn0037382	3.20036e-05	9.20085e-06	5.1695e-07	
FBgn0037743	7.28306e-07	6.6493e-07	8.89656e-08	
FBgn0037336	1.0661e-05	2.81074e-06	1.46783e-07	
FBgn0028707	1.09001e-05	2.96946e-06	1.58991e-07	
FBgn0035207	1.31939e-10	4.22154e-10	2.56934e-10	
FBgn0261955	5.65945e-05	1.35621e-05	5.66942e-07	
FBgn0000527	2.10147e-14	4.96587e-12	2.83333e-11	
FBgn0031769	1.39437e-05	3.64911e-06	1.85764e-07	
FBgn0003366	1.76261e-09	4.31078e-08	3.49775e-08	
FBgn0085440	2.74863e-11	2.47586e-10	1.2305e-10	
FBgn0014949	1.44253e-05	3.97325e-06	2.16469e-07	
FBgn0260657	8.81092e-10	6.56334e-09	2.26283e-09	
FBgn0033912	1.0661e-05	2.81074e-06	1.46783e-07	
FBgn0032629	2.85673e-26	1.2464e-18	5.70604e-16	
FBgn0085434	1.54258e-05	9.1733e-07	2.88541e-08	
FBgn0030676	3.20036e-05	9.20085e-06	5.1695e-07	
FBgn0039158	1.39437e-05	3.64911e-06	1.85764e-07	
FBgn0038110	1.0661e-05	2.81074e-06	1.46783e-07	
